id,title,description,identifier,alt_identifier,access,bag_name,institution_id,created_at,updated_at,state,etag,bag_group_identifier,storage_option,bagit_profile_identifier,source_organization,internal_sender_identifier,internal_sender_description
1,First Object for Institution One,A bag of photos,institution1.edu/photos,photos_from_the_1960s,institution,photos.tar,2,2021-01-12 17:14:35.000,2021-01-12 17:14:35.000,A,etagforinst1photos,carolina-1,Standard,https://example.com/profile.json,Institution One,First internal identifier,First internal description
2,Second Object for Institution One,A bag of PDFs,institution1.edu/pdfs,pdf_docs_with_lots_of_words,restricted,pdfs.tar,2,2021-01-12 17:14:35.000,2021-01-12 17:14:36.000,A,etagforinst1pdfs,carolina-1,Standard,https://example.com/profile.json,Institution One,Second internal identifier,Second internal description
3,Third Object for Institution One,A bag of broken glass,institution1.edu/glass,glass_do_not_eat,consortia,glass.tar,2,2021-01-12 17:14:35.000,2021-01-12 17:14:37.000,A,etagforinst1glass,carolina-2,Standard,https://example.com/profile.json,Institution One,Third internal identifier,Third internal description
4,First Object for Institution Two,A bag of chocolate,institution2.edu/chocolate,mmm_chocolate,institution,chocolate.tar,3,2021-01-12 17:14:35.000,2021-01-12 17:14:38.000,A,6a40fff84939474aa6f5f77bf56fb8c8,,Standard,https://example.com/profile.json,Institution Two,Fourth internal identifier,Fourth internal description
5,Second Object for Institution Two,A bag of coal,institution2.edu/coal,its_black_and_it_burns,restricted,coal.tar,3,2021-01-12 17:14:35.000,2021-01-12 17:14:39.000,A,0940747b1a8a42e78d2639e1093753ff,,Standard,https://example.com/profile.json,Institution Two,Fifth internal identifier,Fifth internal description
6,Object with 24 active files,A bag of angry toads,institution2.edu/toads,not_frogs_toads,consortia,toads.tar,3,2021-01-12 17:14:35.000,2021-01-12 17:14:40.000,A,etagforinst2toads,,Standard,https://example.com/profile.json,Institution Two,Sixth internal identifier,Sixth internal description
7,BTR Restoration Test Bag (sha512),Bag to test restoration of BTR with SHA512 manifests.,test.edu/btr-512-test-restore,,institution,btr-512-test-restore,4,2020-08-26 15:26:40.000,2020-08-26 15:26:40.000,A,00000000000000000000000000000000-1,,Standard,https://raw.githubusercontent.com/dpscollaborative/btr_bagit_profile/master/btr-bagit-profile.json,APTrust,,
8,APTrust Test Restoration Bag,Bag to test restoration in APTrust format,test.edu/apt-test-restore,99-99,institution,apt-test-restore,4,2020-08-26 15:26:40.000,2020-08-26 15:26:41.000,A,00000000000000000000000000000000-1,,Standard,https://wiki.aptrust.org/APTrust_BagIt_Profile-2.2,Test University,99-99,
9,Inst One Glacier-Deep-OH Object,A bag of stuff in Glacier Deep Ohio,institution1.edu/gl-dp-oh,stuff (glacier deep ohio version),institution,gl-dp-oh.tar,2,2021-01-12 17:14:41.000,2021-01-12 17:14:35.000,A,1.23456788765432E+031,carolina-2,Glacier-Deep-OH,https://example.com/profile.json,Institution One,GL-DP-OH internal identifier,GL-DP-OH internal description
10,Inst One Glacier-OR Object,A bag of stuff in Glacier Oregon,institution1.edu/gl-or,stuff (glacier oregon version),institution,gl-or.tar,2,2021-01-12 17:14:35.000,2021-01-12 17:14:42.000,A,5.54356788765432E+031,,Glacier-OR,https://example.com/profile.json,Institution One,GL-OR internal identifier,GL-OR internal description
11,Inst One Wasabi-VA Object,A bag of stuff in Wasabi VA,institution1.edu/wasabi-va,stuff (wasabi virginia version),institution,wasabi-va.tar,2,2021-01-12 17:14:35.000,2021-01-12 17:14:43.000,A,9.33456788765432E+031,,Wasabi-VA,https://example.com/profile.json,Institution One,Wasabi-VA internal identifier,Wasabi-VA internal description
12,Inst Two Glacier-Deep-VA Object,A bag of stuff in glacier deep VA,institution2.edu/gl-dp-va,description of glacier deep va object,institution,gl-dp-va.tar,3,2021-01-12 17:14:35.000,2021-01-12 17:14:44.000,A,1.23412341234123E+031,dakota-1,Glacier-Deep-VA,https://example.com/profile.json,Institution Two,GL-DP-VA identifier,GL-DP-VA description
13,Inst Two Wasabi-OR Object,A bag of stuff in wasabi oregon,institution2.edu/wasabi-or,description of wasabi oregon object,institution,wasabi-or.tar,3,2021-01-12 17:14:35.000,2021-01-12 17:14:45.000,A,5.55566661234123E+031,dakota-2,Wasabi-OR,https://example.com/profile.json,Institution Two,Wasabi-OR identifier,Wasabi-OR description
14,Deleted Object,An object that has been deleted,institution2.edu/deleted,Nothing to see here,consortia,deleted.tar,3,2021-01-12 17:14:35.000,2021-01-12 17:14:46.000,D,etagfordeletedobj,,Standard,https://example.com/profile.json,Institution Two,14th internal identifier,14th internal description
